what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode, sharing",1401007343766
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1401007343766
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1401007343766
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1401007343766
java.vm.specification.version,sysinfo,,,"1.7",1401007343766
java.vm.vendor,sysinfo,,,"Oracle Corporation",1401007343766
java.vm.version,sysinfo,,,"24.55-b03",1401007343766
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1401007343821
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1401007354583
started,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1401007354736
started,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1401007354859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401007355030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401007365485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401007371931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401007389037
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1401007389144
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1401007389224
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1401007394031
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1401007397277
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1401007397699
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1401007426414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1401007483830
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1401007485010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401007485421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401007486755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401007490936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401007551803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1401007556016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401007557339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401016896102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401016898026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401016899570
