what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402832427142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402832429158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402832494099
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402832515401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402832517408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402832519235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402832521664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402832538858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402832564529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402832566197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402832568106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402832569152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402832873163
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1402832877331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402832882861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402832905124
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1402832908502
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1402832908661
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1402832908661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402832913175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402832919852
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1402832920333
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1402832920529
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1402832924019
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1402832925138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402833028290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402833059820
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1402833314693
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1402833314846
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1402833314982
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1402833315062
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1402833315210
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1402833315349
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1402833315454
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1402833315597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1402833339350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402833340869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402833475962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402833482062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402833486796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402833499520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402833501492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402833503343
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1402833554643
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1402833554808
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1402833554914
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1402833555034
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1402833555153
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1402833555275
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1402833608366
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1402833608499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402833623995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402833625662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402833627660
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1402833659711
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1402833659834
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1402833659913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402833803173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402833805825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402833807622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402833882269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402833904171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402833921309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402833933484
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1402834227720
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1402834227720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402834235049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402834559121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402834590219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402834601135
