what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397779919961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397779921598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397779923229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397779931571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397779954922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397779961549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397779964993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397779966689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397779968475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397780008991
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1397780024268
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1397780024409
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1397780024511
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1397780024616
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1397780024748
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1397780024870
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1397780024988
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1397780025111
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1397780025190
